"logger:app-info=> date:[Sun Aug 07 2022 13:58:54 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 13:58:54 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 13:58:54 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 14:00:15 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 14:00:15 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 14:00:15 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 17:13:15 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 17:13:15 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 17:13:15 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Sun Aug 07 2022 17:13:37 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 21:57:52 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 21:57:52 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 21:57:52 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:05:03 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:05:03 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:05:03 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:06:12 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:10:35 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:10:35 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:10:35 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:25:54 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:25:54 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:25:54 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:26:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:26:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:26:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:27:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:27:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:27:11 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:28:04 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:31:51 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:31:51 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:31:51 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 22:32:02 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:05:18 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:05:18 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:05:18 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:06:04 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:06:53 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:06:53 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:06:53 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:10:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:10:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:10:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:10:20 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:11:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:11:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:11:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:11:12 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:12:04 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:12:04 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:12:04 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:12:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:24:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:24:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:24:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:19 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:25:21 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:27:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:27:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:27:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:27:36 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🚩 Shutting server gracefully after 3000ms ...!] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:29:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:29:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:29:09 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:29:59 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:29:59 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:29:59 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:30:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:30:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:30:22 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:30:42 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:30:42 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:30:42 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:31:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:31:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Thu Aug 11 2022 23:31:17 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
